[u'CPA3.D1.8.7', u'8', u'46.21 m2', u'8.72m2', u'2', u'6 399z\u0142/m2', u'295 698z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.7.7', u'7', u'46.31 m2', u'8.72m2', u'2', u'6 199z\u0142/m2', u'287 076z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.7.8', u'7', u'47.24 m2', u'9.51m2', u'2', u'6 199z\u0142/m2', u'292 841z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.7.10', u'7', u'43.55 m2', u'10.01m2', u'2', u'6 299z\u0142/m2', u'274 321z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.6.8', u'6', u'47.36 m2', u'8.22m2', u'2', u'6 099z\u0142/m2', u'288 849z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.6.10', u'6', u'43.63 m2', u'8.93m2', u'2', u'6 199z\u0142/m2', u'270 462z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.5.7', u'5', u'46.6 m2', u'7.52m2', u'2', u'5 999z\u0142/m2', u'279 553z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.5.8', u'5', u'47.53 m2', u'8.22m2', u'2', u'5 999z\u0142/m2', u'285 132z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.5.10', u'5', u'43.78 m2', u'8.93m2', u'2', u'6 099z\u0142/m2', u'267 014z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.4.7', u'4', u'46.68 m2', u'7.52m2', u'2', u'5 899z\u0142/m2', u'275 365z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.4.8', u'4', u'47.62 m2', u'8.22m2', u'2', u'5 899z\u0142/m2', u'280 910z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.4.10', u'4', u'43.97 m2', u'8.93m2', u'2', u'5 999z\u0142/m2', u'263 776z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.3.7', u'3', u'46.81 m2', u'7.52m2', u'2', u'5 799z\u0142/m2', u'271 451z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.3.8', u'3', u'47.82 m2', u'8.22m2', u'2', u'5 799z\u0142/m2', u'277 308z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.3.10', u'3', u'44.13 m2', u'8.93m2', u'2', u'5 899z\u0142/m2', u'260 323z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.2.7', u'2', u'46.96 m2', u'7.52m2', u'2', u'5 699z\u0142/m2', u'267 625z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.2.8', u'2', u'47.98 m2', u'8.22m2', u'2', u'5 699z\u0142/m2', u'273 438z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.1.7', u'1', u'47.16 m2', u'7.52m2', u'2', u'5 599z\u0142/m2', u'264 049z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.1.8', u'1', u'48.15 m2', u'8.22m2', u'2', u'5 599z\u0142/m2', u'269 592z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.1.10', u'1', u'44.47 m2', u'8.93m2', u'2', u'5 799z\u0142/m2', u'257 882z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.0.6', u'0', u'47.22 m2', u'7.52m2', u'2', u'5 099z\u0142/m2', u'240 775z\u0142', u'-', u'bWOLNE']
[u'CPA3.D1.0.7', u'0', u'48.19 m2', u'8.22m2', u'2', u'5 099z\u0142/m2', u'245 721z\u0142', u'-', u'bWOLNE']
22
